Unemployment rate (Percent),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,,,,,,,,,,,,,,
Austria,5.20,4.90,5.20,5.40,6.00,6.20,6.50,5.90,5.20,4.80,5.50,6.20,4.80,5.30
Belgium,8.40,7.20,7.70,8.60,8.70,8.70,7.90,7.10,6.00,5.40,5.60,6.30,5.50,6.00
Canada,8.10,7.60,7.40,7.20,7.00,7.00,7.00,6.40,5.90,5.70,9.70,7.50,5.30,5.80
Denmark,7.80,7.80,7.80,7.40,6.90,6.30,6.00,5.80,5.10,5.00,5.60,5.10,4.50,5.10
Finland,8.50,7.90,7.80,8.30,8.80,9.60,9.00,8.80,7.40,6.70,7.80,7.60,6.80,7.50
France,9.30,9.20,9.80,10.30,10.30,10.40,10.10,9.40,9.00,8.40,8.00,7.90,7.30,7.40
Germany,6.60,5.50,5.10,5.00,4.70,4.40,3.90,3.60,3.20,3.00,3.60,3.60,3.10,3.30
Ireland,14.60,15.40,15.50,13.80,11.90,9.90,8.40,6.80,5.80,5.00,5.90,6.30,4.50,4.50
Netherlands,6.10,6.10,6.80,8.20,8.30,7.90,7.00,5.90,4.90,4.40,4.90,4.20,3.50,3.90
New Zealand,6.20,6.10,6.50,5.80,5.40,5.40,5.20,4.80,4.30,4.10,4.60,3.80,3.30,4.30
Sweden,8.80,8.00,8.20,8.20,8.10,7.60,7.20,6.90,6.50,7.00,8.50,8.80,7.50,7.80
Switzerland,3.50,2.80,2.90,3.20,3.00,3.20,3.30,3.10,2.50,2.30,3.20,3.00,2.20,2.30
USA,9.60,8.90,8.10,7.40,6.20,5.30,4.90,4.40,3.90,3.70,8.10,5.40,3.60,3.80
,,,,,,,,,,,,,,
